,Asset ID,Employee ID,Purchase Date,Last Maintenance Date,CPU Usage (%),Memory Usage (%),Disk Usage (%),Network Activity (MB),OS Version,Software Installed,Age (years),Issue Reported,Incident Description,Time to Failure (hours),Failure Predicted,Resolution Type
0,05dcc07b-f32d-4020-9fa5-ff1b2e24a878,63e9ec05-65fc-4123-bf85-1295d8e2947d,2020-04-12,2024-01-16,28,54,97,3351,Windows 10,37,10,Disk error,The software is not compatible with the system. I cannot install or run the application.,110,Yes,IT support
1,e43a4855-e05d-4de2-81fa-b206ea50e93a,99a8a86e-30d5-4773-8186-c484e6b18e32,2021-01-18,2024-06-11,69,60,24,4901,Windows 10,45,3,Blue screen error,The computer is overheating. The system gets very hot during use.,85,No,self
2,49540faf-e53f-450c-9881-adb2be550539,85d57faf-2ca4-4b36-bd36-1d1182d433c6,2020-11-10,2024-06-24,87,16,65,1920,Windows 11,44,5,Software compatibility issue,The software is not compatible with the system. I cannot install or run the application.,13,No,IT support
3,bb69e435-64f0-4c2e-8646-7875ab912b7f,3a08364f-d91b-49f0-8e01-c6214c6e9c1c,2023-01-19,2024-02-12,14,70,22,4347,Windows 11,13,7,Network disconnection,I keep losing my internet connection. This is affecting my ability to work.,100,No,self
4,f618d7d2-25f2-4527-86f0-00bfd3f4ae9a,c547896b-0b47-4fee-a208-381de516fe4c,2022-04-15,2024-04-19,91,42,46,317,MacOS,50,3,System slow,Battery drains too quickly. I need to plug in the charger often.,46,No,IT support
5,e0ed701f-bfb6-44a2-afce-a3888cf656c4,700ff752-e418-4ad9-8828-a483e895808a,2022-06-17,2024-04-11,45,64,86,2401,Windows 10,10,8,System slow,There is an error with the disk drive. The system cannot read or write data properly.,122,No,self
6,4d4566f1-ca7a-4d32-9d8d-5041820b7edb,df43d710-beed-4606-8222-23e1f3e37e08,2020-08-08,2024-03-11,95,95,48,1555,Windows 10,20,3,Overheating,The computer is overheating. The system gets very hot during use.,146,No,self
7,43656016-072a-4623-b7d1-3f78c9f88f85,6486ac87-620e-4656-bc73-27ceb379b440,2024-06-13,2024-01-27,33,30,76,3152,Linux,47,9,Software compatibility issue,The battery indicator is malfunctioning. It shows incorrect battery levels.,176,No,IT support
8,3a6f8cd2-69c6-4fee-9363-372fe5fbf5a4,88c2e879-fbb1-4698-9ffe-1c3edb9a947f,2023-10-26,2024-02-24,100,91,91,1808,Windows 11,47,4,System slow,Unable to install the software due to compatibility problems. The system requirements are not met.,18,No,IT support
9,fdd7acad-3f79-4a6a-a106-22147057d01d,1bbdbb97-1d54-444a-b4cb-a07d4614b920,2022-08-27,2024-04-03,14,20,19,3317,Linux,25,2,Application crash,Unable to install the software due to compatibility problems. The system requirements are not met.,94,Yes,self
10,6082ff3b-b893-4af0-9701-5aaed3f7e9b0,1ba29d70-31c8-474d-9f29-0db7e57c1124,2021-11-10,2024-06-24,99,19,88,3327,Linux,14,4,Battery issue,I am unable to use the software because it crashes often. This is causing a loss of data.,197,No,IT support
11,f96e1e7b-8562-49cd-845b-e07a15d4eac9,077a5919-96a0-4a14-b261-02b9033e021d,2023-03-15,2024-05-24,21,94,26,3538,Windows 11,38,4,Application crash,The system gets very hot during use. This causes it to shut down.,54,Yes,IT support
12,5008ff3c-0d16-44f6-be04-86013989888c,41e1a4fd-bdb6-43c7-83b8-37448d4523d4,2022-05-04,2024-02-26,66,62,54,322,Linux,45,10,Application crash,System performance has degraded significantly. Even simple tasks are taking a long time.,128,No,IT support
13,06682a57-1dfd-4d32-8409-ca0453ca1c68,f0046864-9053-4c3d-8c64-68ec2df8563c,2020-02-19,2024-05-26,31,43,73,1994,Windows 11,34,9,Battery issue,Compatibility issues with the new application. It does not work with the current OS.,173,Yes,IT support
14,4e0e0155-69ab-47f3-b8db-9b4ec93b4375,5776b36c-3656-408a-b03d-c881691eda55,2023-10-28,2024-06-14,26,84,20,1934,MacOS,45,3,Blue screen error,Overheating is causing the system to shut down. This happens frequently.,103,No,self
15,95b5f682-d693-4cbd-bb62-f2b9f30292d1,80cd4067-a661-4405-8f1c-26f9cd02bd82,2022-09-30,2024-07-10,69,44,98,3081,MacOS,36,3,System slow,I am unable to use the software because it crashes often. This is causing a loss of data.,124,No,IT support
16,2cfa90f0-4400-4122-9bde-750f0d04d847,a232f9ba-a236-431a-87f1-7328730b4672,2023-04-12,2024-03-18,59,64,47,907,Windows 11,25,2,Battery issue,The software is not compatible with the system. I cannot install or run the application.,191,Yes,self
17,c403691d-a3c8-4e3e-8ca4-e05d2d01461c,ad7b649b-0fea-4e4a-adcf-e259a1fae2ec,2023-08-28,2024-05-13,94,44,95,782,MacOS,27,7,Application crash,The system gets very hot during use. This causes it to shut down.,32,No,self
18,21a1e7b2-db9a-4f11-888c-4273241c336c,79e6f590-14c7-4dca-b188-4bd66c80b4f4,2021-09-14,2024-03-15,36,82,40,4505,MacOS,36,5,Overheating,Unable to install the software due to compatibility problems. The system requirements are not met.,78,Yes,self
19,be1dfd8f-6e07-4570-85f7-0ffc8c391a6b,fad13f57-ddb1-4fbf-ab6a-8358030a48c4,2021-02-07,2024-06-23,46,41,12,1865,Windows 10,7,5,Overheating,The Wi-Fi disconnects frequently. It takes a while to reconnect.,45,No,IT support
20,6da7dc3a-22ee-42ef-ad92-d5d5bb69369d,d1df46f4-effd-4cdd-8b29-520193ac912a,2020-08-26,2024-06-12,12,48,62,3845,MacOS,25,4,Battery issue,Disk read/write errors are occurring frequently. This is slowing down the system.,19,No,IT support
21,7da32040-eeb9-4e93-ae7e-2e2f43688f29,177b2e6b-0a9a-44d2-ad8c-4d14403dc4c1,2020-04-18,2024-04-17,14,88,54,2522,Windows 10,45,1,Overheating,The software is not compatible with the system. I cannot install or run the application.,100,No,IT support
22,8bbd7acb-ccb6-45a5-b053-f44abbd0e8c0,acd684cd-9df5-4614-bb6d-e308fcf26c8a,2023-09-09,2024-01-23,52,12,10,4162,MacOS,20,3,Overheating,The network connection is unstable. I keep losing my internet connection.,146,No,IT support
23,b790777f-66f2-4dce-b414-eb7b7daf9dcb,6d9129de-271f-4a70-b3cb-39d94ffb235b,2023-09-27,2024-01-16,33,65,49,1338,Windows 10,10,2,Battery issue,Disk read/write errors are occurring frequently. This is slowing down the system.,25,Yes,IT support
24,28afaf6a-2626-44fa-aabb-33e5fa7aa53a,55eb4e21-76b0-4e68-b038-156108441da1,2024-06-05,2024-02-25,80,42,61,255,Windows 11,42,7,Disk error,The Wi-Fi disconnects frequently. It takes a while to reconnect.,6,No,self
25,bd6e43ad-ec00-45ed-8b8d-a06d54afe400,f66e2032-dc24-4a7d-b624-d5b75c7ea63c,2023-10-10,2024-06-10,43,80,45,4453,Windows 11,33,2,Disk error,I keep losing my internet connection. This is affecting my ability to work.,22,No,IT support
26,51a44d55-eb1e-4898-a489-8cf7a7b7f28f,e6e2b6bb-e165-4d8e-b9b1-1a9aec6c65a4,2022-01-20,2024-01-11,53,91,60,858,Windows 10,11,6,Blue screen error,The computer shows a blue screen error. This happens randomly during work.,120,Yes,IT support
27,4f540ac9-6d2b-4294-a981-6f2cbf55bd9f,c9352968-d50f-4f53-9e2f-2d750e9b91cc,2024-06-17,2024-05-15,10,94,70,3265,Windows 11,13,7,Software compatibility issue,The system crashed with a blue screen. I lost all unsaved work.,124,No,IT support
